Model,Accuracy Score,Precision,Recall,F1 Score,TP,TN
KNN,0.8852459016393442,0.9090909090909091,0.8823529411764706,0.8955223880597014,24,30
Logistic Regression,0.8360655737704918,0.8333333333333334,0.8823529411764706,0.8571428571428571,21,30
LDA + Naive Bayes,0.9180327868852459,0.9393939393939394,0.9117647058823529,0.9253731343283583,25,31
Random Forest,0.819672131147541,0.8484848484848485,0.8235294117647058,0.8358208955223881,22,28
Decision Tree,0.7868852459016393,0.8620689655172413,0.7352941176470589,0.7936507936507937,23,25
Linear SVC,0.819672131147541,0.8108108108108109,0.8823529411764706,0.8450704225352113,20,30
RBF SVC,0.8688524590163934,0.8421052631578947,0.9411764705882353,0.8888888888888888,21,32
